# wavelength Total_Reflection Total_Transmission Absorption 
3 0.9148085564 1.836953326e-009 0.08519144173 
3.05 0.9125316143 1.992059601e-009 0.0874683837 
3.2 0.906294331 2.500755769e-009 0.09370566654 
3.25 0.9048425257 2.512047848e-009 0.09515747177 
3.35 0.9036786556 1.901997532e-009 0.09632134247 
3.45 0.9057823569 1.827722668e-009 0.09421764131 
3.55 0.9112005234 1.584814738e-009 0.08879947504 
3.6 0.9153177589 1.398077626e-009 0.08468223968 
3.7 0.9255639464 8.790186218e-010 0.07443605275 
3.75 0.9313999116 5.268802616e-010 0.06860008783 
3.8 0.9335096478 2.643559612e-011 0.06649035213 
3.9 0.9123026729 9.31890537e-010 0.08769732621 
3.95 0.8945500851 1.690058982e-009 0.1054499132 
4.05 0.8418433666 4.072527648e-009 0.1581566293 
4.1 0.8025659323 5.959089888e-009 0.1974340618 
4.15 0.7501065731 8.608968982e-009 0.2498934183 
4.2 0.6810473204 1.232732305e-008 0.3189526673 
4.25 0.5905861855 1.762202462e-008 0.4094137969 
4.35 0.3406876922 1.697636809e-008 0.6593122909 
4.4 0.1994019747 2.137784227e-008 0.8005980039 
4.45 0.08275832236 2.520707645e-008 0.9172416524 
4.5 0.02231900953 2.760972615e-008 0.9776809629 
4.6 0.09206424654 2.667765565e-008 0.9079357268 
4.65 0.1817990839 2.457137694e-008 0.8182008915 
4.7 0.2766954899 2.209346395e-008 0.723304488 
4.8 0.4390246868 1.777409175e-008 0.5609752954 
4.9 0.554912746 1.470029343e-008 0.4450872393 
4.95 0.5985714793 1.353925594e-008 0.4014285071 
5 0.6356496215 1.259217131e-008 0.3643503659 
5.05 0.6653998494 1.178460662e-008 0.3346001388 
5.15 0.7141026258 1.059230748e-008 0.2858973636 
5.2 0.7331522703 1.012542172e-008 0.2668477196 
5.25 0.7489115 9.687587066e-009 0.2510884903 
5.35 0.7759552598 9.042030458e-009 0.2240447312 
5.4 0.7860725522 8.78281281e-009 0.213927439 
5.45 0.7961438298 8.566882093e-009 0.2038561616 
5.6 0.8192435503 8.072387758e-009 0.1807564416 
5.75 0.8362594843 7.781588818e-009 0.1637405079 
5.8 0.8409274817 7.72690445e-009 0.1590725106 
5.85 0.8454216719 7.68006414e-009 0.1545783205 
5.95 0.8529330492 7.636980048e-009 0.1470669432 
6 0.8567504287 7.635273747e-009 0.1432495637 
